id,title,author,genre,isbn,price,stock,published_year,publisher,pages,description,rating,review_count
376,Moby-Dick,Herman Melville,Classic,978-0142437247,17.00,30,1851,Penguin Classics,720,Captain Ahabs obsessive hunt for a whale.,4.6,18220
377,The Scarlet Letter,Nathaniel Hawthorne,Classic,978-0142437261,11.00,40,1850,Penguin Classics,238,Sin and redemption in Puritan Massachusetts.,4.6,49920
378,Wuthering Heights,Emily Bronte,Classic,978-0141439556,10.00,48,1847,Penguin Classics,338,A tale of passion and revenge on the moors.,4.3,18646
379,Jane Eyre,Charlotte Bronte,Classic,978-0141441146,12.00,52,1847,Penguin Classics,532,A governesss journey to independence.,5.0,12821
380,Great Expectations,Charles Dickens,Classic,978-0141439563,13.00,45,1861,Penguin Classics,544,A boys rise from poverty to gentleman.,3.9,23750
381,A Tale of Two Cities,Charles Dickens,Classic,978-0141439600,11.00,42,1859,Penguin Classics,489,London and Paris during the French Revolution.,3.8,1027
382,David Copperfield,Charles Dickens,Classic,978-0140439441,14.00,35,1850,Penguin Classics,882,Dickens most autobiographical novel.,4.6,8395
383,The Picture of Dorian Gray,Oscar Wilde,Classic,978-0141439570,12.00,55,1890,Penguin Classics,256,A portrait ages while its subject stays young.,3.9,3673
384,Dracula,Bram Stoker,Classic,978-0141439846,14.00,58,1897,Penguin Classics,454,The original vampire novel.,4.3,45805
385,Frankenstein,Mary Shelley,Classic,978-0141439471,12.00,62,1818,Penguin Classics,280,A scientist creates life from death.,4.9,41903
386,The Count of Monte Cristo,Alexandre Dumas,Classic,978-0140449266,18.00,35,1844,Penguin Classics,1276,A wronged man seeks revenge.,4.8,32270
387,Les Miserables,Victor Hugo,Classic,978-0140444308,20.00,28,1862,Penguin Classics,1232,Justice and redemption in 19th century France.,3.7,903
388,Don Quixote,Miguel de Cervantes,Classic,978-0060934347,22.00,22,1605,Ecco,992,A knight errant tilts at windmills.,4.4,30862
389,The Metamorphosis,Franz Kafka,Classic,978-0553213690,7.99,48,1915,Bantam Classics,201,A man wakes up transformed into an insect.,4.2,22428
390,The Trial,Franz Kafka,Classic,978-0805209990,16.00,32,1925,Schocken,255,A man is arrested for an unknown crime.,3.8,3467
391,Slaughterhouse-Five,Kurt Vonnegut,Classic,978-0385333849,17.00,55,1969,Dell,275,An anti-war novel unstuck in time.,3.9,31408
392,Catch-22,Joseph Heller,Classic,978-1451626650,18.00,42,1961,Simon & Schuster,544,The absurdity of war and bureaucracy.,3.7,4382
393,The Bell Jar,Sylvia Plath,Classic,978-0060837020,15.99,48,1963,Harper Perennial,288,A young womans descent into depression.,4.1,4955
394,The Stranger,Albert Camus,Classic,978-0679720201,14.00,52,1942,Vintage,123,An indifferent man commits a senseless crime.,4.4,45087
395,Lolita,Vladimir Nabokov,Classic,978-0679723165,17.00,35,1955,Vintage,317,A controversial novel of obsession.,3.6,9877
396,On the Road,Jack Kerouac,Classic,978-0140283297,17.00,40,1957,Penguin Books,307,A Beat Generation journey across America.,4.7,20012
397,Lord of the Flies,William Golding,Classic,978-0399501487,17.00,58,1954,Penguin Books,224,Boys stranded on an island descend into savagery.,3.6,16365
398,The Handmaids Tale,Margaret Atwood,Classic,978-0385490818,16.95,65,1985,Anchor,311,A dystopia of women as property.,3.7,27374
399,Beloved,Toni Morrison,Classic,978-1400033416,17.00,45,1987,Vintage,324,A former slaves haunting by her past.,4.4,40628
400,The Color Purple,Alice Walker,Classic,978-0156028356,17.00,48,1982,Mariner Books,295,Black womens lives in early 20th century Georgia.,3.8,34347
401,What to Expect When Youre Expecting,Heidi Murkoff,Parenting,978-0761187486,18.95,55,1984,Workman Publishing,656,The pregnancy bible.,4.1,29114
402,The Whole-Brain Child,Daniel J. Siegel,Parenting,978-0553386691,17.00,42,2011,Bantam,176,12 strategies to nurture your childs mind.,3.9,38669
403,How to Talk So Kids Will Listen,Adele Faber,Parenting,978-1451663884,17.00,48,1980,Scribner,380,Communication strategies for parents.,5.0,20113
404,Untangled,Lisa Damour,Parenting,978-0553393071,17.00,35,2016,Ballantine Books,352,Guiding teenage girls through adolescence.,4.4,4047
405,Cribsheet,Emily Oster,Parenting,978-0525559252,28.00,40,2019,Penguin Press,352,A data-driven guide to parenting.,4.4,48602
406,The Gardening Book,DK Publishing,Gardening,978-0744026641,25.00,32,2022,DK Publishing,320,A complete guide to growing your garden.,3.6,13717
407,The Well-Tempered Garden,Christopher Lloyd,Gardening,978-1780227825,22.00,18,1970,Timber Press,512,A classic of garden writing.,4.4,17443
408,Braiding Sweetgrass,Robin Wall Kimmerer,Nature,978-1571313560,18.00,65,2013,Milkweed Editions,390,Indigenous wisdom and scientific knowledge.,4.5,10392
409,The Hidden Life of Trees,Peter Wohlleben,Nature,978-1771642484,24.95,52,2015,Greystone Books,288,What trees feel and communicate.,3.9,36275
410,H Is for Hawk,Helen Macdonald,Nature,978-0802124739,17.00,40,2014,Grove Press,320,Grief and the training of a goshawk.,3.6,275
411,Lab Girl,Hope Jahren,Nature,978-1101873724,17.00,35,2016,Vintage,304,A scientists memoir of plants and life.,4.1,45278
412,The Overstory,Richard Powers,Fiction,978-0393356687,18.95,48,2018,W. W. Norton,502,Nine people and their connection to trees.,4.4,19187
413,Pilgrim at Tinker Creek,Annie Dillard,Nature,978-0061233326,15.99,30,1974,Harper Perennial,290,A year observing nature in Virginia.,3.5,18981
414,Silent Spring,Rachel Carson,Nature,978-0618249060,16.00,42,1962,Mariner Books,400,The book that launched environmentalism.,4.6,46170
415,The Sea Around Us,Rachel Carson,Nature,978-0190906764,17.95,25,1951,Oxford University Press,264,The science and poetry of the ocean.,4.8,4764
416,Endurance,Alfred Lansing,Adventure,978-0465062881,17.99,45,1959,Basic Books,357,Shackletons Antarctic expedition.,4.5,17437
417,The Perfect Storm,Sebastian Junger,Adventure,978-0393337013,16.95,38,1997,W. W. Norton,226,A fishing boat lost at sea.,4.7,41063
418,Touching the Void,Joe Simpson,Adventure,978-0060730550,16.99,32,1988,Harper Perennial,218,A climbing disaster in the Andes.,4.4,13064
419,127 Hours,Aron Ralston,Adventure,978-1451617702,16.00,35,2004,Atria Books,354,A climber trapped by a boulder.,4.1,35788
420,The Lost City of Z,David Grann,Adventure,978-1400078455,17.00,40,2009,Vintage,352,A search for a legendary Amazon city.,3.8,9864
421,The Lord of the Rings,J.R.R. Tolkien,Fantasy,978-0544003415,35.00,70,1954,Mariner Books,1178,The complete trilogy in one volume.,4.9,9421
422,The Hobbit,J.R.R. Tolkien,Fantasy,978-0547928227,15.99,75,1937,Mariner Books,300,A hobbits unexpected adventure.,3.6,10973
423,The Silmarillion,J.R.R. Tolkien,Fantasy,978-0544338012,15.99,35,1977,Mariner Books,365,The mythology of Middle-earth.,4.7,39096
424,A Game of Thrones,George R.R. Martin,Fantasy,978-0553593716,18.00,62,1996,Bantam,835,The war for the Iron Throne begins.,4.6,37403
425,A Clash of Kings,George R.R. Martin,Fantasy,978-0553579901,18.00,55,1998,Bantam,969,The five kings fight for power.,4.9,28880
426,A Storm of Swords,George R.R. Martin,Fantasy,978-0553573428,18.00,52,2000,Bantam,1177,The bloodiest book in the series.,3.7,45233
427,A Feast for Crows,George R.R. Martin,Fantasy,978-0553582024,18.00,45,2005,Bantam,753,The realm picks up the pieces.,4.0,26478
428,A Dance with Dragons,George R.R. Martin,Fantasy,978-0553582017,18.00,48,2011,Bantam,1040,The long-awaited fifth book.,4.9,32898
429,The Wheel of Time: Eye of the World,Robert Jordan,Fantasy,978-1250768681,18.99,42,1990,Tor Books,782,The beginning of an epic saga.,4.3,28788
430,Good Omens,Terry Pratchett,Fantasy,978-0060853983,17.99,55,1990,William Morrow,432,An angel and demon try to stop Armageddon.,3.6,2712
431,American Gods,Neil Gaiman,Fantasy,978-0063081918,18.99,58,2001,William Morrow,541,Old gods clash with new in America.,4.8,48238
432,Neverwhere,Neil Gaiman,Fantasy,978-0063070738,17.99,45,1996,William Morrow,370,A secret London beneath the streets.,4.0,16508
433,Stardust,Neil Gaiman,Fantasy,978-0061689246,15.99,40,1999,William Morrow,333,A young man seeks a fallen star.,3.5,15102
434,The Ocean at the End of the Lane,Neil Gaiman,Fantasy,978-0062459367,16.99,48,2013,William Morrow,243,A man recalls a strange childhood summer.,4.9,37796
435,Coraline,Neil Gaiman,Fantasy,978-0380807345,8.99,55,2002,HarperCollins,162,A girl discovers a sinister other world.,4.4,1459
436,The Dark Tower: The Gunslinger,Stephen King,Fantasy,978-1501182105,17.00,42,1982,Scribner,231,The man in black fled across the desert.,5.0,44158
437,The Stand,Stephen King,Horror,978-0307743688,19.99,50,1978,Anchor,1153,A plague survivors battle against evil.,4.7,37864
438,Salem's Lot,Stephen King,Horror,978-0307743671,17.00,45,1975,Anchor,653,Vampires come to a small town.,3.6,49662
439,Carrie,Stephen King,Horror,978-0307743664,16.00,40,1974,Anchor,290,A bullied girl discovers her powers.,3.8,34110
440,The Green Mile,Stephen King,Fiction,978-1501192265,18.00,55,1996,Scribner,400,A death row guard meets a miraculous prisoner.,4.5,18329
441,And Then There Were None,Agatha Christie,Mystery,978-0062073488,15.99,58,1939,William Morrow,272,Ten strangers are murdered one by one.,3.8,38460
442,Murder on the Orient Express,Agatha Christie,Mystery,978-0062073501,15.99,55,1934,William Morrow,256,A murder on a snowed-in train.,4.2,32325
443,The Murder of Roger Ackroyd,Agatha Christie,Mystery,978-0062073563,15.99,45,1926,William Morrow,256,A shocking twist ending.,5.0,30902
444,The Girl on the Train,Paula Hawkins,Thriller,978-1594634024,17.00,52,2015,Riverhead Books,336,A commuter witnesses something shocking.,4.0,21943
445,The Da Vinci Code,Dan Brown,Thriller,978-0307474278,17.00,60,2003,Anchor,597,A symbologist uncovers religious secrets.,4.0,6955
446,Angels & Demons,Dan Brown,Thriller,978-0671027360,9.99,48,2000,Pocket Books,736,A thriller set in Vatican City.,4.8,21714
447,Inferno,Dan Brown,Thriller,978-1400079155,17.00,42,2013,Anchor,642,A race against a deadly plague.,4.1,32571
448,The Bourne Identity,Robert Ludlum,Thriller,978-0553593549,17.00,45,1980,Bantam,566,A man with no memory is hunted.,3.9,26344
449,The Hunt for Red October,Tom Clancy,Thriller,978-0425240335,9.99,40,1984,Berkley,480,A Soviet submarine defects.,4.7,36151
450,The Firm,John Grisham,Thriller,978-0385319058,17.00,55,1991,Doubleday,501,A young lawyer discovers his firms secrets.,3.6,5871
451,A Time to Kill,John Grisham,Thriller,978-0385338608,18.00,48,1989,Dell,672,A father takes the law into his own hands.,4.0,21286
452,The Pelican Brief,John Grisham,Thriller,978-0385339704,17.00,42,1992,Dell,436,A law student uncovers a conspiracy.,3.7,26588
453,Along Came a Spider,James Patterson,Thriller,978-1538745199,17.99,50,1993,Grand Central,435,Alex Cross hunts a kidnapper.,4.8,175
454,Kiss the Girls,James Patterson,Thriller,978-0446677387,9.99,45,1995,Grand Central,480,Cross tracks a serial collector.,4.5,35659
455,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,978-0307454546,17.99,52,2005,Vintage,590,A hacker and journalist investigate.,4.2,3652
456,The Girl Who Played with Fire,Stieg Larsson,Mystery,978-0307454553,17.99,45,2006,Vintage,724,Salander is accused of murder.,3.8,23809
457,The Girl Who Kicked the Hornets Nest,Stieg Larsson,Mystery,978-0307454560,17.99,42,2007,Vintage,563,The explosive finale.,4.4,32769
458,In Cold Blood,Truman Capote,True Crime,978-0679745587,17.00,38,1966,Vintage,343,The true crime genre begins.,4.4,49906
459,Helter Skelter,Vincent Bugliosi,True Crime,978-0393322231,18.95,32,1974,W. W. Norton,689,The Manson murder investigation.,3.6,17601
460,I'll Be Gone in the Dark,Michelle McNamara,True Crime,978-0062319791,17.99,48,2018,Harper,352,The hunt for the Golden State Killer.,4.3,18976
461,A Brief History of Time,Stephen Hawking,Science,978-0553380163,18.00,55,1988,Bantam,212,The universe explained for everyone.,4.2,45860
462,The Elegant Universe,Brian Greene,Science,978-0393338102,18.95,35,1999,W. W. Norton,464,String theory and the fabric of spacetime.,4.2,1991
463,Cosmos,Carl Sagan,Science,978-0345539434,18.00,48,1980,Ballantine Books,432,A personal voyage through the universe.,5.0,40003
464,Pale Blue Dot,Carl Sagan,Science,978-0345376596,18.00,38,1994,Ballantine Books,429,A vision of our place in the cosmos.,4.7,46616
465,The Selfish Gene,Richard Dawkins,Science,978-0198788607,17.99,42,1976,Oxford University Press,544,Evolution from the genes perspective.,3.7,36199
466,The Origin of Species,Charles Darwin,Science,978-0451529060,9.99,35,1859,Signet Classics,576,The foundation of evolutionary biology.,3.5,26838
467,Silent Spring,Rachel Carson,Science,978-0618249060,16.00,40,1962,Mariner Books,400,The environmental classic.,3.6,7535
468,The Double Helix,James D. Watson,Science,978-0743216302,17.00,30,1968,Touchstone,256,The discovery of DNA structure.,4.2,7798
469,The Structure of Scientific Revolutions,Thomas S. Kuhn,Science,978-0226458120,15.00,28,1962,University of Chicago Press,264,How scientific paradigms shift.,4.5,10190
470,Surely Youre Joking Mr. Feynman,Richard P. Feynman,Science,978-0393355628,17.95,48,1985,W. W. Norton,352,Adventures of a curious character.,4.2,47063
471,What If?,Randall Munroe,Science,978-0544272996,24.00,55,2014,Houghton Mifflin,320,Serious scientific answers to absurd questions.,3.9,46329
472,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Science,978-0393609394,18.95,62,2017,W. W. Norton,224,The universe in bite-sized chapters.,3.9,31721
473,The Sixth Extinction,Elizabeth Kolbert,Science,978-1250062185,18.00,40,2014,Picador,336,An unnatural history of mass extinction.,5.0,16073
474,Sapiens,Yuval Noah Harari,Science,978-0062316097,24.99,65,2011,Harper,464,A brief history of humankind.,4.2,9579
475,Homo Deus,Yuval Noah Harari,Science,978-0062464316,24.99,52,2015,Harper,464,A brief history of tomorrow.,4.1,39380
476,21 Lessons for the 21st Century,Yuval Noah Harari,Science,978-0525512196,24.00,48,2018,Spiegel & Grau,372,Addressing todays most urgent issues.,4.3,9046
477,The Emperor of All Maladies,Siddhartha Mukherjee,Science,978-1439170915,18.00,38,2010,Scribner,571,A biography of cancer.,4.8,18204
478,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Science,978-0684853949,17.00,42,1985,Touchstone,243,Clinical tales of neurological patients.,4.7,27293
479,Being Mortal,Atul Gawande,Science,978-1250076229,17.00,55,2014,Picador,282,Medicine and what matters in the end.,4.0,33375
480,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Science,978-1400052189,17.00,48,2010,Broadway Books,381,The woman whose cells changed medicine.,3.9,268
481,The Art of War,Sun Tzu,Military,978-1599869773,9.99,55,500,Canterbury Classics,224,Ancient Chinese military strategy.,3.9,19666
482,On War,Carl von Clausewitz,Military,978-0691018546,26.95,18,1832,Princeton University Press,752,The philosophy of warfare.,4.8,38105
483,Band of Brothers,Stephen E. Ambrose,Military,978-1501179402,18.00,45,1992,Simon & Schuster,432,Easy Company in World War II.,5.0,32189
484,The Guns of August,Barbara W. Tuchman,History,978-0345476098,18.00,35,1962,Ballantine Books,606,The outbreak of World War I.,4.8,29364
485,A Peoples History of the United States,Howard Zinn,History,978-0062397348,19.99,42,1980,Harper Perennial,784,American history from below.,4.3,22718
486,The Rise and Fall of the Third Reich,William L. Shirer,History,978-1451651683,25.00,25,1960,Simon & Schuster,1280,A history of Nazi Germany.,4.0,35714
487,SPQR,Mary Beard,History,978-1631492228,18.00,35,2015,Liveright,608,A history of ancient Rome.,4.1,21188
488,The Silk Roads,Peter Frankopan,History,978-1101912379,20.00,32,2015,Vintage,636,A new history of the world.,4.8,45811
489,1776,David McCullough,History,978-0743226721,18.00,48,2005,Simon & Schuster,386,The year of American independence.,3.9,25198
490,John Adams,David McCullough,Biography,978-0743223133,22.00,38,2001,Simon & Schuster,751,The second presidents life.,3.9,27020
491,Truman,David McCullough,Biography,978-0671456542,25.00,30,1992,Simon & Schuster,1120,The 33rd president.,3.6,48904
492,The Warmth of Other Suns,Isabel Wilkerson,History,978-0679763888,18.99,52,2010,Vintage,640,The Great Migration of Black Americans.,4.2,25084
493,Caste,Isabel Wilkerson,History,978-0593230251,18.00,58,2020,Random House,496,The origins of our discontents.,4.1,43595
494,Stamped from the Beginning,Ibram X. Kendi,History,978-1568585987,19.99,45,2016,Bold Type Books,592,The definitive history of racist ideas.,4.7,42830
495,The New Jim Crow,Michelle Alexander,History,978-1620971932,18.99,55,2010,The New Press,336,Mass incarceration in America.,5.0,32561
496,Between the World and Me,Ta-Nehisi Coates,Memoir,978-0812993547,16.00,62,2015,One World,176,A letter to his son about being Black in America.,4.9,8373
497,Just Mercy,Bryan Stevenson,Memoir,978-0812984965,18.00,58,2014,One World,368,A story of justice and redemption.,4.3,38778
498,I Know Why the Caged Bird Sings,Maya Angelou,Memoir,978-0345514400,16.00,55,1969,Ballantine Books,304,A poets powerful memoir.,4.0,6677
499,The Autobiography of Malcolm X,Malcolm X,Autobiography,978-0345350688,17.00,48,1965,Ballantine Books,500,The civil rights leaders story.,4.8,28955
500,Long Walk to Freedom,Nelson Mandela,Autobiography,978-0316548182,22.00,42,1994,Back Bay Books,656,From prisoner to president.,3.6,30045
501,The Kite Runner,Khaled Hosseini,Fiction,978-1594631931,17.00,58,2003,Riverhead Books,371,A haunting tale of friendship in Afghanistan.,3.5,9547
502,A Thousand Splendid Suns,Khaled Hosseini,Fiction,978-1594483851,17.00,52,2007,Riverhead Books,419,Two women endure decades of hardship.,4.1,43011
503,And the Mountains Echoed,Khaled Hosseini,Fiction,978-1594632389,17.00,45,2013,Riverhead Books,404,Siblings separated across continents.,5.0,5003
504,Little Fires Everywhere,Celeste Ng,Fiction,978-0735224315,17.00,55,2017,Penguin Books,338,Two families collide in suburban Ohio.,4.2,17468
505,The Midnight Library,Matt Haig,Fiction,978-0525559474,18.00,62,2020,Viking,304,A library between life and death.,4.0,45497
506,Anxious People,Fredrik Backman,Fiction,978-1501160837,17.00,48,2019,Atria Books,352,A bank robber takes hostages at an open house.,4.1,5363
507,Project Hail Mary,Andy Weir,Science Fiction,978-0593135204,20.00,65,2021,Ballantine Books,496,A man alone must save Earth.,4.8,44294
508,Klara and the Sun,Kazuo Ishiguro,Science Fiction,978-0593318171,17.00,42,2021,Vintage,320,An artificial friend observes humanity.,4.8,25004
509,Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,Fiction,978-0593321201,18.00,55,2022,Knopf,416,Two friends create video games together.,4.9,41177
510,Lessons in Chemistry,Bonnie Garmus,Fiction,978-0385547345,18.00,60,2022,Doubleday,400,A 1960s chemist becomes a cooking show host.,4.6,49868
511,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Fiction,978-1501161933,17.00,68,2017,Atria Books,400,A Hollywood icon reveals her secrets.,4.2,35556
512,Daisy Jones & The Six,Taylor Jenkins Reid,Fiction,978-1524798642,17.00,55,2019,Ballantine Books,368,The rise and fall of a 1970s rock band.,3.6,4584
513,Malibu Rising,Taylor Jenkins Reid,Fiction,978-1524798673,18.00,48,2021,Ballantine Books,369,One legendary party in 1983 Malibu.,3.9,44952
514,Carrie Soto Is Back,Taylor Jenkins Reid,Fiction,978-1524798697,18.00,45,2022,Ballantine Books,384,A tennis legend comes out of retirement.,4.9,15008
515,The House of the Spirits,Isabel Allende,Fiction,978-1501117015,17.00,38,1982,Atria Books,490,A multigenerational saga in Chile.,4.6,28540
516,Norwegian Wood,Haruki Murakami,Fiction,978-0375704024,16.95,45,1987,Vintage,296,A nostalgic story of loss and sexuality.,5.0,49931
517,Kafka on the Shore,Haruki Murakami,Fiction,978-1400079278,17.95,42,2002,Vintage,505,Two characters on metaphysical journeys.,4.5,6686
518,1Q84,Haruki Murakami,Fiction,978-0307476463,20.00,35,2009,Vintage,1157,An alternate Tokyo with two moons.,4.2,45582
519,The Wind-Up Bird Chronicle,Haruki Murakami,Fiction,978-0679775430,18.00,38,1994,Vintage,607,A mans search for his missing cat and wife.,3.9,1997
520,Never Let Me Go,Kazuo Ishiguro,Fiction,978-1400078776,16.95,48,2005,Vintage,288,Students discover their disturbing purpose.,3.6,3777
